factors,max_iter,reg,w0,alpha,top_k,train_interactions,test_interactions,user_count,item_count,final_loss,hr_at_k,ndcg_at_k,runtime_seconds
12,5,0.1,2.0,0.5,10,8120,1880,2979,4980,1110.4539427210507,0.005319148936170213,0.0022239128707754437,5.909233808517456
12,5,0.1,2.0,0.75,10,8120,1880,2979,4980,1124.6878471392233,0.0047872340425531915,0.0020972704434383165,5.8838560581207275
16,3,0.1,0.5,0.0,10,8120,1880,2979,4980,1127.372602972011,0.006914893617021276,0.003294473426859996,5.461989879608154
16,3,0.1,0.5,0.25,10,8120,1880,2979,4980,1129.6021701544853,0.006914893617021276,0.0032670580645617997,5.468142032623291
16,3,0.1,0.5,0.5,10,8120,1880,2979,4980,1131.264423683878,0.005319148936170213,0.002797444513102461,5.452070951461792
16,3,0.1,0.5,0.75,10,8120,1880,2979,4980,1131.951629888383,0.00425531914893617,0.0020574352370848308,5.47065806388855
16,3,0.1,1.0,0.0,10,8120,1880,2979,4980,1159.702819477571,0.006914893617021276,0.0031297673176441327,5.466866970062256
16,3,0.1,1.0,0.25,10,8120,1880,2979,4980,1166.067662860579,0.006382978723404255,0.002816165478075925,5.485839128494263
16,3,0.1,1.0,0.5,10,8120,1880,2979,4980,1172.2074490942819,0.005319148936170213,0.0023516322112605475,5.449371099472046
16,3,0.1,1.0,0.75,10,8120,1880,2979,4980,1177.7037395700054,0.003723404255319149,0.0017299526389512377,5.432321071624756
16,3,0.1,2.0,0.0,10,8120,1880,2979,4980,1237.8255400590228,0.006382978723404255,0.0028366767701960434,5.421616315841675
16,3,0.1,2.0,0.25,10,8120,1880,2979,4980,1253.2160201036563,0.005319148936170213,0.002347979471445806,5.3609747886657715
16,3,0.1,2.0,0.5,10,8120,1880,2979,4980,1269.5315422023473,0.00425531914893617,0.00169193464629676,5.426229000091553
16,3,0.1,2.0,0.75,10,8120,1880,2979,4980,1286.0872311408325,0.0031914893617021275,0.0012077845856273525,5.389846086502075
16,5,0.1,0.5,0.0,10,8120,1880,2979,4980,897.7549357457398,0.005319148936170213,0.002113310071699734,9.080347061157227
16,5,0.1,0.5,0.25,10,8120,1880,2979,4980,901.0531569125897,0.003723404255319149,0.0015917814408967753,9.117366075515747
16,5,0.1,0.5,0.5,10,8120,1880,2979,4980,904.5633350576676,0.0026595744680851063,0.00128905752942298,9.098536252975464
16,5,0.1,0.5,0.75,10,8120,1880,2979,4980,908.1307522533851,0.002127659574468085,0.000915438604017727,9.117008924484253
16,5,0.1,1.0,0.0,10,8120,1880,2979,4980,941.2957609640921,0.005319148936170213,0.0020877039279266828,9.081486940383911
16,5,0.1,1.0,0.25,10,8120,1880,2979,4980,947.0808160884603,0.003723404255319149,0.0014328333165484358,9.099594116210938
16,5,0.1,1.0,0.5,10,8120,1880,2979,4980,953.4153707076388,0.0015957446808510637,0.0007248065464408681,9.135794878005981
16,5,0.1,1.0,0.75,10,8120,1880,2979,4980,959.8362323870857,0.002127659574468085,0.0006967213863686969,9.151380062103271
16,5,0.1,2.0,0.0,10,8120,1880,2979,4980,1029.1781676596372,0.0026595744680851063,0.0011585644596247664,9.1549551486969
16,5,0.1,2.0,0.25,10,8120,1880,2979,4980,1040.154382491273,0.0015957446808510637,0.0005847165858779712,9.073304176330566
16,5,0.1,2.0,0.5,10,8120,1880,2979,4980,1052.0224974881667,0.0010638297872340426,0.0003667768725751891,9.092311143875122
16,5,0.1,2.0,0.75,10,8120,1880,2979,4980,1064.2875466568332,0.0015957446808510637,0.0005863556499825234,9.109913110733032
